sku,name,description,price,cost,stock_quantity,vendor_category,vendor_subcategory_1,vendor_subcategory_2
"DEMO-000027","Demo Product 27 - Home & Garden","This is demo product number 27 in the Home & Garden category.","628.86","256.65","970","Home & Garden","Furniture",""
"DEMO-000028","Demo Product 28 - Sports & Outdoors","This is demo product number 28 in the Sports & Outdoors category.","125.77","53.43","57","Sports & Outdoors","Camping",""
"DEMO-000029","Demo Product 29 - Books & Media","This is demo product number 29 in the Books & Media category.","478.33","198.90","438","Books & Media","Educational",""
"DEMO-000030","Demo Product 30 - Electronics","This is demo product number 30 in the Electronics category.","337.15","231.29","220","Electronics","Smartphones",""
"DEMO-000031","Demo Product 31 - Clothing","This is demo product number 31 in the Clothing category.","208.91","237.89","695","Clothing","Women",""
"DEMO-000032","Demo Product 32 - Home & Garden","This is demo product number 32 in the Home & Garden category.","858.59","111.67","854","Home & Garden","Kitchen",""
"DEMO-000033","Demo Product 33 - Sports & Outdoors","This is demo product number 33 in the Sports & Outdoors category.","793.33","249.64","720","Sports & Outdoors","Fitness",""
"DEMO-000034","Demo Product 34 - Books & Media","This is demo product number 34 in the Books & Media category.","437.87","444.29","198","Books & Media","Non-Fiction",""
"DEMO-000035","Demo Product 35 - Electronics","This is demo product number 35 in the Electronics category.","592.72","23.48","665","Electronics","Tablets",""
"DEMO-000036","Demo Product 36 - Clothing","This is demo product number 36 in the Clothing category.","898.35","411.83","37","Clothing","Men",""
"DEMO-000037","Demo Product 37 - Home & Garden","This is demo product number 37 in the Home & Garden category.","394.93","49.88","79","Home & Garden","Decor",""
"DEMO-000038","Demo Product 38 - Sports & Outdoors","This is demo product number 38 in the Sports & Outdoors category.","756.54","24.49","677","Sports & Outdoors","Cycling",""
"DEMO-000039","Demo Product 39 - Books & Media","This is demo product number 39 in the Books & Media category.","436.40","409.07","346","Books & Media","Fiction",""
"DEMO-000040","Demo Product 40 - Electronics","This is demo product number 40 in the Electronics category.","552.76","290.47","507","Electronics","Laptops",""
"DEMO-000041","Demo Product 41 - Clothing","This is demo product number 41 in the Clothing category.","503.07","361.82","990","Clothing","Kids",""
"DEMO-000042","Demo Product 42 - Home & Garden","This is demo product number 42 in the Home & Garden category.","793.35","305.47","596","Home & Garden","Furniture",""
"DEMO-000043","Demo Product 43 - Sports & Outdoors","This is demo product number 43 in the Sports & Outdoors category.","858.52","313.45","868","Sports & Outdoors","Camping",""
"DEMO-000044","Demo Product 44 - Books & Media","This is demo product number 44 in the Books & Media category.","693.65","126.60","468","Books & Media","Educational",""
"DEMO-000045","Demo Product 45 - Electronics","This is demo product number 45 in the Electronics category.","881.22","403.98","512","Electronics","Smartphones",""
"DEMO-000046","Demo Product 46 - Clothing","This is demo product number 46 in the Clothing category.","285.52","70.46","501","Clothing","Women",""
"DEMO-000047","Demo Product 47 - Home & Garden","This is demo product number 47 in the Home & Garden category.","386.13","392.74","852","Home & Garden","Kitchen",""
"DEMO-000048","Demo Product 48 - Sports & Outdoors","This is demo product number 48 in the Sports & Outdoors category.","995.42","209.38","295","Sports & Outdoors","Fitness",""
"DEMO-000049","Demo Product 49 - Books & Media","This is demo product number 49 in the Books & Media category.","760.14","497.09","503","Books & Media","Non-Fiction",""
"DEMO-000050","Demo Product 50 - Electronics","This is demo product number 50 in the Electronics category.","548.77","467.33","454","Electronics","Tablets",""
"DEMO-000051","Demo Product 51 - Clothing","This is demo product number 51 in the Clothing category.","494.98","333.33","560","Clothing","Men",""
"DEMO-000052","Demo Product 52 - Home & Garden","This is demo product number 52 in the Home & Garden category.","376.19","313.04","997","Home & Garden","Decor",""
"DEMO-000053","Demo Product 53 - Sports & Outdoors","This is demo product number 53 in the Sports & Outdoors category.","832.59","421.23","531","Sports & Outdoors","Cycling",""
"DEMO-000054","Demo Product 54 - Books & Media","This is demo product number 54 in the Books & Media category.","281.83","253.93","355","Books & Media","Fiction",""
"DEMO-000055","Demo Product 55 - Electronics","This is demo product number 55 in the Electronics category.","103.50","51.52","996","Electronics","Laptops",""
"DEMO-000056","Demo Product 56 - Clothing","This is demo product number 56 in the Clothing category.","120.54","463.92","221","Clothing","Kids",""
"DEMO-000057","Demo Product 57 - Home & Garden","This is demo product number 57 in the Home & Garden category.","139.88","317.98","33","Home & Garden","Furniture",""
"DEMO-000058","Demo Product 58 - Sports & Outdoors","This is demo product number 58 in the Sports & Outdoors category.","101.18","395.01","13","Sports & Outdoors","Camping",""
"DEMO-000059","Demo Product 59 - Books & Media","This is demo product number 59 in the Books & Media category.","723.22","63.28","153","Books & Media","Educational",""
"DEMO-000060","Demo Product 60 - Electronics","This is demo product number 60 in the Electronics category.","978.04","489.72","876","Electronics","Smartphones",""
"DEMO-000061","Demo Product 61 - Clothing","This is demo product number 61 in the Clothing category.","685.64","471.02","390","Clothing","Women",""
"DEMO-000062","Demo Product 62 - Home & Garden","This is demo product number 62 in the Home & Garden category.","397.95","117.96","157","Home & Garden","Kitchen",""
"DEMO-000063","Demo Product 63 - Sports & Outdoors","This is demo product number 63 in the Sports & Outdoors category.","51.93","271.31","661","Sports & Outdoors","Fitness",""
"DEMO-000064","Demo Product 64 - Books & Media","This is demo product number 64 in the Books & Media category.","702.79","422.21","525","Books & Media","Non-Fiction",""
"DEMO-000065","Demo Product 65 - Electronics","This is demo product number 65 in the Electronics category.","424.42","376.78","746","Electronics","Tablets",""
"DEMO-000066","Demo Product 66 - Clothing","This is demo product number 66 in the Clothing category.","13.93","173.72","562","Clothing","Men",""
"DEMO-000067","Demo Product 67 - Home & Garden","This is demo product number 67 in the Home & Garden category.","892.34","150.42","634","Home & Garden","Decor",""
"DEMO-000068","Demo Product 68 - Sports & Outdoors","This is demo product number 68 in the Sports & Outdoors category.","507.12","132.60","903","Sports & Outdoors","Cycling",""
"DEMO-000069","Demo Product 69 - Books & Media","This is demo product number 69 in the Books & Media category.","998.93","232.37","943","Books & Media","Fiction",""
"DEMO-000070","Demo Product 70 - Electronics","This is demo product number 70 in the Electronics category.","461.95","61.01","789","Electronics","Laptops",""
"DEMO-000071","Demo Product 71 - Clothing","This is demo product number 71 in the Clothing category.","424.37","141.83","301","Clothing","Kids",""
"DEMO-000072","Demo Product 72 - Home & Garden","This is demo product number 72 in the Home & Garden category.","299.75","47.85","987","Home & Garden","Furniture",""
"DEMO-000073","Demo Product 73 - Sports & Outdoors","This is demo product number 73 in the Sports & Outdoors category.","351.75","148.32","724","Sports & Outdoors","Camping",""
"DEMO-000074","Demo Product 74 - Books & Media","This is demo product number 74 in the Books & Media category.","85.40","236.61","188","Books & Media","Educational",""
"DEMO-000075","Demo Product 75 - Electronics","This is demo product number 75 in the Electronics category.","442.51","19.92","43","Electronics","Smartphones",""
"DEMO-000076","Demo Product 76 - Clothing","This is demo product number 76 in the Clothing category.","881.02","158.77","657","Clothing","Women",""
"DEMO-000077","Demo Product 77 - Home & Garden","This is demo product number 77 in the Home & Garden category.","766.22","39.14","706","Home & Garden","Kitchen",""
"DEMO-000078","Demo Product 78 - Sports & Outdoors","This is demo product number 78 in the Sports & Outdoors category.","989.12","64.65","472","Sports & Outdoors","Fitness",""
"DEMO-000079","Demo Product 79 - Books & Media","This is demo product number 79 in the Books & Media category.","95.79","297.33","325","Books & Media","Non-Fiction",""
"DEMO-000080","Demo Product 80 - Electronics","This is demo product number 80 in the Electronics category.","321.56","398.17","490","Electronics","Tablets",""
"DEMO-000081","Demo Product 81 - Clothing","This is demo product number 81 in the Clothing category.","841.18","478.39","918","Clothing","Men",""
"DEMO-000082","Demo Product 82 - Home & Garden","This is demo product number 82 in the Home & Garden category.","211.88","240.71","792","Home & Garden","Decor",""
"DEMO-000083","Demo Product 83 - Sports & Outdoors","This is demo product number 83 in the Sports & Outdoors category.","423.67","415.60","957","Sports & Outdoors","Cycling",""
"DEMO-000084","Demo Product 84 - Books & Media","This is demo product number 84 in the Books & Media category.","836.23","407.73","893","Books & Media","Fiction",""
"DEMO-000085","Demo Product 85 - Electronics","This is demo product number 85 in the Electronics category.","115.77","136.67","453","Electronics","Laptops",""
"DEMO-000086","Demo Product 86 - Clothing","This is demo product number 86 in the Clothing category.","754.13","105.15","794","Clothing","Kids",""
"DEMO-000087","Demo Product 87 - Home & Garden","This is demo product number 87 in the Home & Garden category.","689.83","48.47","544","Home & Garden","Furniture",""
"DEMO-000088","Demo Product 88 - Sports & Outdoors","This is demo product number 88 in the Sports & Outdoors category.","935.57","74.82","578","Sports & Outdoors","Camping",""
"DEMO-000089","Demo Product 89 - Books & Media","This is demo product number 89 in the Books & Media category.","523.78","291.57","138","Books & Media","Educational",""
"DEMO-000090","Demo Product 90 - Electronics","This is demo product number 90 in the Electronics category.","844.95","152.52","465","Electronics","Smartphones",""
"DEMO-000091","Demo Product 91 - Clothing","This is demo product number 91 in the Clothing category.","516.89","307.99","535","Clothing","Women",""
"DEMO-000092","Demo Product 92 - Home & Garden","This is demo product number 92 in the Home & Garden category.","156.49","78.90","51","Home & Garden","Kitchen",""
"DEMO-000093","Demo Product 93 - Sports & Outdoors","This is demo product number 93 in the Sports & Outdoors category.","654.53","480.97","887","Sports & Outdoors","Fitness",""
"DEMO-000094","Demo Product 94 - Books & Media","This is demo product number 94 in the Books & Media category.","678.90","30.75","440","Books & Media","Non-Fiction",""
"DEMO-000095","Demo Product 95 - Electronics","This is demo product number 95 in the Electronics category.","675.87","270.63","612","Electronics","Tablets",""
"DEMO-000096","Demo Product 96 - Clothing","This is demo product number 96 in the Clothing category.","214.78","150.13","306","Clothing","Men",""
"DEMO-000097","Demo Product 97 - Home & Garden","This is demo product number 97 in the Home & Garden category.","587.33","452.00","429","Home & Garden","Decor",""
"DEMO-000098","Demo Product 98 - Sports & Outdoors","This is demo product number 98 in the Sports & Outdoors category.","20.13","217.16","727","Sports & Outdoors","Cycling",""
"DEMO-000099","Demo Product 99 - Books & Media","This is demo product number 99 in the Books & Media category.","807.53","409.00","798","Books & Media","Fiction",""
"DEMO-000100","Demo Product 100 - Electronics","This is demo product number 100 in the Electronics category.","837.58","369.75","998","Electronics","Laptops",""
"DEMO-000101","Demo Product 101 - Clothing","This is demo product number 101 in the Clothing category.","327.20","212.22","989","Clothing","Kids",""
"DEMO-000102","Demo Product 102 - Home & Garden","This is demo product number 102 in the Home & Garden category.","731.66","258.86","745","Home & Garden","Furniture",""
"DEMO-000103","Demo Product 103 - Sports & Outdoors","This is demo product number 103 in the Sports & Outdoors category.","825.03","25.06","684","Sports & Outdoors","Camping",""
"DEMO-000104","Demo Product 104 - Books & Media","This is demo product number 104 in the Books & Media category.","641.23","427.08","952","Books & Media","Educational",""
"DEMO-000105","Demo Product 105 - Electronics","This is demo product number 105 in the Electronics category.","629.80","257.37","83","Electronics","Smartphones",""
"DEMO-000106","Demo Product 106 - Clothing","This is demo product number 106 in the Clothing category.","318.79","101.00","138","Clothing","Women",""
"DEMO-000107","Demo Product 107 - Home & Garden","This is demo product number 107 in the Home & Garden category.","130.18","463.19","226","Home & Garden","Kitchen",""
"DEMO-000108","Demo Product 108 - Sports & Outdoors","This is demo product number 108 in the Sports & Outdoors category.","90.05","436.90","472","Sports & Outdoors","Fitness",""
"DEMO-000109","Demo Product 109 - Books & Media","This is demo product number 109 in the Books & Media category.","103.66","58.62","324","Books & Media","Non-Fiction",""
"DEMO-000110","Demo Product 110 - Electronics","This is demo product number 110 in the Electronics category.","895.75","475.35","835","Electronics","Tablets",""
"DEMO-000111","Demo Product 111 - Clothing","This is demo product number 111 in the Clothing category.","13.60","30.20","988","Clothing","Men",""
"DEMO-000112","Demo Product 112 - Home & Garden","This is demo product number 112 in the Home & Garden category.","229.34","461.35","545","Home & Garden","Decor",""
"DEMO-000113","Demo Product 113 - Sports & Outdoors","This is demo product number 113 in the Sports & Outdoors category.","91.63","380.33","122","Sports & Outdoors","Cycling",""
"DEMO-000114","Demo Product 114 - Books & Media","This is demo product number 114 in the Books & Media category.","611.66","311.54","741","Books & Media","Fiction",""
"DEMO-000115","Demo Product 115 - Electronics","This is demo product number 115 in the Electronics category.","343.75","499.64","36","Electronics","Laptops",""
"DEMO-000116","Demo Product 116 - Clothing","This is demo product number 116 in the Clothing category.","139.66","123.80","96","Clothing","Kids",""
"DEMO-000117","Demo Product 117 - Home & Garden","This is demo product number 117 in the Home & Garden category.","676.15","107.89","694","Home & Garden","Furniture",""
"DEMO-000118","Demo Product 118 - Sports & Outdoors","This is demo product number 118 in the Sports & Outdoors category.","940.95","373.38","949","Sports & Outdoors","Camping",""
"DEMO-000119","Demo Product 119 - Books & Media","This is demo product number 119 in the Books & Media category.","333.47","398.89","911","Books & Media","Educational",""
"DEMO-000120","Demo Product 120 - Electronics","This is demo product number 120 in the Electronics category.","651.26","277.03","213","Electronics","Smartphones",""
"DEMO-000121","Demo Product 121 - Clothing","This is demo product number 121 in the Clothing category.","372.27","57.20","552","Clothing","Women",""
"DEMO-000122","Demo Product 122 - Home & Garden","This is demo product number 122 in the Home & Garden category.","989.63","364.31","14","Home & Garden","Kitchen",""
"DEMO-000123","Demo Product 123 - Sports & Outdoors","This is demo product number 123 in the Sports & Outdoors category.","703.91","272.57","999","Sports & Outdoors","Fitness",""
"DEMO-000124","Demo Product 124 - Books & Media","This is demo product number 124 in the Books & Media category.","933.08","422.34","643","Books & Media","Non-Fiction",""
"DEMO-000125","Demo Product 125 - Electronics","This is demo product number 125 in the Electronics category.","988.56","486.58","188","Electronics","Tablets",""
"DEMO-000126","Demo Product 126 - Clothing","This is demo product number 126 in the Clothing category.","408.82","264.98","904","Clothing","Men",""
"DEMO-000127","Demo Product 127 - Home & Garden","This is demo product number 127 in the Home & Garden category.","560.93","99.87","72","Home & Garden","Decor",""
"DEMO-000128","Demo Product 128 - Sports & Outdoors","This is demo product number 128 in the Sports & Outdoors category.","336.85","412.11","275","Sports & Outdoors","Cycling",""
"DEMO-000129","Demo Product 129 - Books & Media","This is demo product number 129 in the Books & Media category.","704.69","372.33","330","Books & Media","Fiction",""
"DEMO-000130","Demo Product 130 - Electronics","This is demo product number 130 in the Electronics category.","340.24","316.83","21","Electronics","Laptops",""
"DEMO-000131","Demo Product 131 - Clothing","This is demo product number 131 in the Clothing category.","629.28","461.98","882","Clothing","Kids",""
"DEMO-000132","Demo Product 132 - Home & Garden","This is demo product number 132 in the Home & Garden category.","600.69","233.25","4","Home & Garden","Furniture",""
"DEMO-000133","Demo Product 133 - Sports & Outdoors","This is demo product number 133 in the Sports & Outdoors category.","198.18","398.98","43","Sports & Outdoors","Camping",""
"DEMO-000134","Demo Product 134 - Books & Media","This is demo product number 134 in the Books & Media category.","520.61","390.24","754","Books & Media","Educational",""
"DEMO-000135","Demo Product 135 - Electronics","This is demo product number 135 in the Electronics category.","258.40","80.16","186","Electronics","Smartphones",""
"DEMO-000136","Demo Product 136 - Clothing","This is demo product number 136 in the Clothing category.","158.09","41.57","462","Clothing","Women",""
"DEMO-000137","Demo Product 137 - Home & Garden","This is demo product number 137 in the Home & Garden category.","471.58","384.45","60","Home & Garden","Kitchen",""
"DEMO-000138","Demo Product 138 - Sports & Outdoors","This is demo product number 138 in the Sports & Outdoors category.","514.07","394.46","919","Sports & Outdoors","Fitness",""
"DEMO-000139","Demo Product 139 - Books & Media","This is demo product number 139 in the Books & Media category.","241.24","459.38","671","Books & Media","Non-Fiction",""
"DEMO-000140","Demo Product 140 - Electronics","This is demo product number 140 in the Electronics category.","973.17","56.80","441","Electronics","Tablets",""
"DEMO-000141","Demo Product 141 - Clothing","This is demo product number 141 in the Clothing category.","748.40","65.04","336","Clothing","Men",""
"DEMO-000142","Demo Product 142 - Home & Garden","This is demo product number 142 in the Home & Garden category.","577.26","261.19","1","Home & Garden","Decor",""
"DEMO-000143","Demo Product 143 - Sports & Outdoors","This is demo product number 143 in the Sports & Outdoors category.","25.64","158.28","854","Sports & Outdoors","Cycling",""
"DEMO-000144","Demo Product 144 - Books & Media","This is demo product number 144 in the Books & Media category.","838.54","282.52","542","Books & Media","Fiction",""
"DEMO-000145","Demo Product 145 - Electronics","This is demo product number 145 in the Electronics category.","770.66","494.51","251","Electronics","Laptops",""
"DEMO-000146","Demo Product 146 - Clothing","This is demo product number 146 in the Clothing category.","642.09","13.46","184","Clothing","Kids",""
"DEMO-000147","Demo Product 147 - Home & Garden","This is demo product number 147 in the Home & Garden category.","357.78","122.68","440","Home & Garden","Furniture",""
"DEMO-000148","Demo Product 148 - Sports & Outdoors","This is demo product number 148 in the Sports & Outdoors category.","545.78","8.02","103","Sports & Outdoors","Camping",""
"DEMO-000149","Demo Product 149 - Books & Media","This is demo product number 149 in the Books & Media category.","866.85","378.65","817","Books & Media","Educational",""
"DEMO-000150","Demo Product 150 - Electronics","This is demo product number 150 in the Electronics category.","214.26","264.82","6","Electronics","Smartphones",""
"DEMO-000151","Demo Product 151 - Clothing","This is demo product number 151 in the Clothing category.","866.92","12.35","302","Clothing","Women",""
"DEMO-000152","Demo Product 152 - Home & Garden","This is demo product number 152 in the Home & Garden category.","442.74","394.76","307","Home & Garden","Kitchen",""
"DEMO-000153","Demo Product 153 - Sports & Outdoors","This is demo product number 153 in the Sports & Outdoors category.","371.17","350.64","672","Sports & Outdoors","Fitness",""
"DEMO-000154","Demo Product 154 - Books & Media","This is demo product number 154 in the Books & Media category.","472.65","148.85","947","Books & Media","Non-Fiction",""
"DEMO-000155","Demo Product 155 - Electronics","This is demo product number 155 in the Electronics category.","666.93","346.50","539","Electronics","Tablets",""
"DEMO-000156","Demo Product 156 - Clothing","This is demo product number 156 in the Clothing category.","967.21","385.79","914","Clothing","Men",""
"DEMO-000157","Demo Product 157 - Home & Garden","This is demo product number 157 in the Home & Garden category.","324.76","138.13","140","Home & Garden","Decor",""
"DEMO-000158","Demo Product 158 - Sports & Outdoors","This is demo product number 158 in the Sports & Outdoors category.","546.72","331.21","595","Sports & Outdoors","Cycling",""
"DEMO-000159","Demo Product 159 - Books & Media","This is demo product number 159 in the Books & Media category.","601.67","417.91","336","Books & Media","Fiction",""
"DEMO-000160","Demo Product 160 - Electronics","This is demo product number 160 in the Electronics category.","978.43","462.52","161","Electronics","Laptops",""
"DEMO-000161","Demo Product 161 - Clothing","This is demo product number 161 in the Clothing category.","219.69","398.96","767","Clothing","Kids",""
"DEMO-000162","Demo Product 162 - Home & Garden","This is demo product number 162 in the Home & Garden category.","809.90","270.74","776","Home & Garden","Furniture",""
"DEMO-000163","Demo Product 163 - Sports & Outdoors","This is demo product number 163 in the Sports & Outdoors category.","20.28","61.11","915","Sports & Outdoors","Camping",""
"DEMO-000164","Demo Product 164 - Books & Media","This is demo product number 164 in the Books & Media category.","513.94","205.90","859","Books & Media","Educational",""
"DEMO-000165","Demo Product 165 - Electronics","This is demo product number 165 in the Electronics category.","66.83","293.76","432","Electronics","Smartphones",""
"DEMO-000166","Demo Product 166 - Clothing","This is demo product number 166 in the Clothing category.","1006.24","257.40","379","Clothing","Women",""
"DEMO-000167","Demo Product 167 - Home & Garden","This is demo product number 167 in the Home & Garden category.","670.77","245.67","810","Home & Garden","Kitchen",""
"DEMO-000168","Demo Product 168 - Sports & Outdoors","This is demo product number 168 in the Sports & Outdoors category.","160.50","450.22","933","Sports & Outdoors","Fitness",""
"DEMO-000169","Demo Product 169 - Books & Media","This is demo product number 169 in the Books & Media category.","235.94","323.63","330","Books & Media","Non-Fiction",""
"DEMO-000170","Demo Product 170 - Electronics","This is demo product number 170 in the Electronics category.","44.84","467.61","393","Electronics","Tablets",""
"DEMO-000171","Demo Product 171 - Clothing","This is demo product number 171 in the Clothing category.","529.25","447.02","92","Clothing","Men",""
"DEMO-000172","Demo Product 172 - Home & Garden","This is demo product number 172 in the Home & Garden category.","197.71","391.05","500","Home & Garden","Decor",""
"DEMO-000173","Demo Product 173 - Sports & Outdoors","This is demo product number 173 in the Sports & Outdoors category.","943.44","40.10","518","Sports & Outdoors","Cycling",""
"DEMO-000174","Demo Product 174 - Books & Media","This is demo product number 174 in the Books & Media category.","357.72","313.45","422","Books & Media","Fiction",""
"DEMO-000175","Demo Product 175 - Electronics","This is demo product number 175 in the Electronics category.","361.62","366.13","162","Electronics","Laptops",""
"DEMO-000176","Demo Product 176 - Clothing","This is demo product number 176 in the Clothing category.","549.15","264.01","106","Clothing","Kids",""
"DEMO-000177","Demo Product 177 - Home & Garden","This is demo product number 177 in the Home & Garden category.","755.00","237.56","673","Home & Garden","Furniture",""
"DEMO-000178","Demo Product 178 - Sports & Outdoors","This is demo product number 178 in the Sports & Outdoors category.","223.24","166.12","406","Sports & Outdoors","Camping",""
"DEMO-000179","Demo Product 179 - Books & Media","This is demo product number 179 in the Books & Media category.","728.04","267.26","436","Books & Media","Educational",""
"DEMO-000180","Demo Product 180 - Electronics","This is demo product number 180 in the Electronics category.","479.64","142.85","696","Electronics","Smartphones",""
"DEMO-000181","Demo Product 181 - Clothing","This is demo product number 181 in the Clothing category.","34.93","278.39","566","Clothing","Women",""
"DEMO-000182","Demo Product 182 - Home & Garden","This is demo product number 182 in the Home & Garden category.","365.88","268.67","252","Home & Garden","Kitchen",""
"DEMO-000183","Demo Product 183 - Sports & Outdoors","This is demo product number 183 in the Sports & Outdoors category.","452.10","131.77","943","Sports & Outdoors","Fitness",""
"DEMO-000184","Demo Product 184 - Books & Media","This is demo product number 184 in the Books & Media category.","37.79","504.57","4","Books & Media","Non-Fiction",""
"DEMO-000185","Demo Product 185 - Electronics","This is demo product number 185 in the Electronics category.","663.23","104.82","773","Electronics","Tablets",""
"DEMO-000186","Demo Product 186 - Clothing","This is demo product number 186 in the Clothing category.","948.84","369.86","129","Clothing","Men",""
"DEMO-000187","Demo Product 187 - Home & Garden","This is demo product number 187 in the Home & Garden category.","873.75","380.58","376","Home & Garden","Decor",""
"DEMO-000188","Demo Product 188 - Sports & Outdoors","This is demo product number 188 in the Sports & Outdoors category.","101.26","81.75","260","Sports & Outdoors","Cycling",""
"DEMO-000189","Demo Product 189 - Books & Media","This is demo product number 189 in the Books & Media category.","359.87","340.50","673","Books & Media","Fiction",""
"DEMO-000190","Demo Product 190 - Electronics","This is demo product number 190 in the Electronics category.","173.87","128.18","588","Electronics","Laptops",""
"DEMO-000191","Demo Product 191 - Clothing","This is demo product number 191 in the Clothing category.","779.84","161.73","717","Clothing","Kids",""
"DEMO-000192","Demo Product 192 - Home & Garden","This is demo product number 192 in the Home & Garden category.","944.76","215.37","315","Home & Garden","Furniture",""
"DEMO-000193","Demo Product 193 - Sports & Outdoors","This is demo product number 193 in the Sports & Outdoors category.","657.59","97.08","220","Sports & Outdoors","Camping",""
"DEMO-000194","Demo Product 194 - Books & Media","This is demo product number 194 in the Books & Media category.","79.05","289.15","840","Books & Media","Educational",""
"DEMO-000195","Demo Product 195 - Electronics","This is demo product number 195 in the Electronics category.","130.33","279.50","150","Electronics","Smartphones",""
"DEMO-000196","Demo Product 196 - Clothing","This is demo product number 196 in the Clothing category.","622.02","143.12","193","Clothing","Women",""
"DEMO-000197","Demo Product 197 - Home & Garden","This is demo product number 197 in the Home & Garden category.","125.46","263.14","90","Home & Garden","Kitchen",""
"DEMO-000198","Demo Product 198 - Sports & Outdoors","This is demo product number 198 in the Sports & Outdoors category.","448.68","493.68","399","Sports & Outdoors","Fitness",""
"DEMO-000199","Demo Product 199 - Books & Media","This is demo product number 199 in the Books & Media category.","355.04","6.71","370","Books & Media","Non-Fiction",""
"DEMO-000200","Demo Product 200 - Electronics","This is demo product number 200 in the Electronics category.","90.73","41.53","946","Electronics","Tablets",""
"DEMO-000201","Demo Product 201 - Clothing","This is demo product number 201 in the Clothing category.","876.77","435.65","434","Clothing","Men",""
"DEMO-000202","Demo Product 202 - Home & Garden","This is demo product number 202 in the Home & Garden category.","132.28","143.70","122","Home & Garden","Decor",""
"DEMO-000203","Demo Product 203 - Sports & Outdoors","This is demo product number 203 in the Sports & Outdoors category.","427.41","443.41","270","Sports & Outdoors","Cycling",""
"DEMO-000204","Demo Product 204 - Books & Media","This is demo product number 204 in the Books & Media category.","369.92","150.45","293","Books & Media","Fiction",""
"DEMO-000205","Demo Product 205 - Electronics","This is demo product number 205 in the Electronics category.","152.32","422.59","910","Electronics","Laptops",""
